model,cohort,n,auc,auc_ci_low,auc_ci_high,auc_pr,f1,sensitivity,specificity,accuracy,evaluation_mode,validation_strategy
mlp,ACL,11,,,,0.3333333333333333,0.14285714285714285,0.2727272727272727,0.6363636363636364,0.2727272727272727,full_nested,nested_group_cv
mlp,CIPN,19,,,,,0.4722222222222222,0.8947368421052632,0.8947368421052632,0.8947368421052632,full_nested,nested_group_cv
mlp,CVA,49,,,,0.3333333333333333,0.31541218637992835,0.8979591836734694,0.9489795918367347,0.8979591836734694,full_nested,nested_group_cv
mlp,Healthy,73,,,,0.3333333333333333,0.22424242424242424,0.5068493150684932,0.7534246575342465,0.5068493150684932,full_nested,nested_group_cv
mlp,HipOA,15,,,,0.3333333333333333,0.1111111111111111,0.2,0.6,0.2,full_nested,nested_group_cv
mlp,KneeOA,18,,,,0.3333333333333333,0.12121212121212122,0.2222222222222222,0.6111111111111112,0.2222222222222222,full_nested,nested_group_cv
mlp,PD,24,,,,,1.0,1.0,,1.0,full_nested,nested_group_cv
mlp,RIL,51,,,,,0.44565217391304346,0.803921568627451,0.803921568627451,0.803921568627451,full_nested,nested_group_cv
random_forest,ACL,11,,,,0.3333333333333333,0.20833333333333334,0.45454545454545453,0.7272727272727273,0.45454545454545453,full_nested,nested_group_cv
random_forest,CIPN,19,,,,,0.4411764705882353,0.7894736842105263,0.7894736842105263,0.7894736842105263,full_nested,nested_group_cv
random_forest,CVA,49,,,,0.3333333333333333,0.29545454545454547,0.7959183673469388,0.8979591836734694,0.7959183673469388,full_nested,nested_group_cv
random_forest,Healthy,73,,,,0.3333333333333333,0.25071225071225073,0.6027397260273972,0.8013698630136986,0.6027397260273972,full_nested,nested_group_cv
random_forest,HipOA,15,,,,0.3333333333333333,0.19047619047619047,0.4,0.7,0.4,full_nested,nested_group_cv
random_forest,KneeOA,18,,,,0.3333333333333333,0.12121212121212122,0.2222222222222222,0.6111111111111112,0.2222222222222222,full_nested,nested_group_cv
random_forest,PD,24,,,,0.3333333333333333,0.3111111111111111,0.875,0.9375,0.875,full_nested,nested_group_cv
random_forest,RIL,51,,,,0.3333333333333333,0.2619047619047619,0.6470588235294118,0.8235294117647058,0.6470588235294118,full_nested,nested_group_cv
svm,ACL,11,,,,0.3333333333333333,0.14285714285714285,0.2727272727272727,0.6363636363636364,0.2727272727272727,full_nested,nested_group_cv
svm,CIPN,19,,,,,0.4722222222222222,0.8947368421052632,0.8947368421052632,0.8947368421052632,full_nested,nested_group_cv
svm,CVA,49,,,,0.3333333333333333,0.299625468164794,0.8163265306122449,0.9081632653061225,0.8163265306122449,full_nested,nested_group_cv
svm,Healthy,73,,,,0.3333333333333333,0.23214285714285712,0.5342465753424658,0.7671232876712328,0.5342465753424658,full_nested,nested_group_cv
svm,HipOA,15,,,,0.3333333333333333,0.041666666666666664,0.06666666666666667,0.5333333333333333,0.06666666666666667,full_nested,nested_group_cv
svm,KneeOA,18,,,,0.3333333333333333,0.14492753623188406,0.2777777777777778,0.6388888888888888,0.2777777777777778,full_nested,nested_group_cv
svm,PD,24,,,,,1.0,1.0,,1.0,full_nested,nested_group_cv
svm,RIL,51,,,,0.3333333333333333,0.3010752688172043,0.8235294117647058,0.9117647058823529,0.8235294117647058,full_nested,nested_group_cv
xgboost,ACL,11,,,,0.3333333333333333,0.10256410256410257,0.18181818181818182,0.5909090909090909,0.18181818181818182,full_nested,nested_group_cv
xgboost,CIPN,19,,,,,0.4722222222222222,0.8947368421052632,0.8947368421052632,0.8947368421052632,full_nested,nested_group_cv
xgboost,CVA,49,,,,0.3333333333333333,0.3037037037037037,0.8367346938775511,0.9183673469387755,0.8367346938775511,full_nested,nested_group_cv
xgboost,Healthy,73,,,,0.3333333333333333,0.2471264367816092,0.589041095890411,0.7945205479452055,0.589041095890411,full_nested,nested_group_cv
xgboost,HipOA,15,,,,0.3333333333333333,0.1111111111111111,0.2,0.6,0.2,full_nested,nested_group_cv
xgboost,KneeOA,18,,,,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.5555555555555556,0.1111111111111111,full_nested,nested_group_cv
xgboost,PD,24,,,,,0.48936170212765956,0.9583333333333334,0.9583333333333334,0.9583333333333334,full_nested,nested_group_cv
xgboost,RIL,51,,,,0.3333333333333333,0.2888888888888889,0.7647058823529411,0.8823529411764706,0.7647058823529411,full_nested,nested_group_cv
